Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","CONN1_1","WAGO256_2",23.1140,8.3820,90.0000,top
"J2","CONN1_1","WAGO256_2",18.0340,8.3820,90.0000,top
"J3","JUMP_2x1","Straight_2x01",30.7340,35.6870,90.0000,top
"J4","JUMP_2x1","Straight_2x01",18.0340,35.6870,90.0000,top
"J5","JUMP_2x1","Straight_2x01",23.1140,35.6870,90.0000,top
"J6","JUMP_2x1","Straight_2x01",35.8140,35.6870,90.0000,top
"J7","JUMP_2x1","Straight_2x01",28.1940,35.6870,90.0000,top
"J8","JUMP_2x1","Straight_2x01",33.2740,35.6870,90.0000,top
"J9","JUMP_2x1","Straight_2x01",25.6540,35.6870,90.0000,top
"J10","JUMP_2x1","Straight_2x01",15.3670,35.6870,90.0000,top
"J11","JUMP_2x1","Straight_2x01",20.5740,35.6870,90.0000,top
"J12","CONN1_1","WAGO256_2",7.7470,21.5900,0.0000,top
"J13","CONN1_1","WAGO256_2",7.7470,26.5430,0.0000,top
"J14","CONN1_1","WAGO256_2",42.9260,26.5430,180.0000,top
"J15","CONN1_1","WAGO256_2",42.9260,21.5900,180.0000,top
"J16","CONN1_1","WAGO256_2",13.0810,8.3820,90.0000,top
"J17","CONN1_1","WAGO256_2",28.1940,8.3820,90.0000,top
"J18","CONN1_1","WAGO256_2",33.2740,8.3820,90.0000,top
"J19","CONN1_1","WAGO256_2",38.3540,8.3820,90.0000,top
"J20","JUMP_2x1","Straight_2x01",3.1750,12.7000,90.0000,top
"M1","HOLE","MountingHole_3mm",5.0800,5.0800,0.0000,top
"M2","HOLE","MountingHole_3mm",45.7200,5.0800,0.0000,top
"M3","HOLE","MountingHole_3mm",45.7200,35.5600,0.0000,top
"M4","HOLE","MountingHole_3mm",5.0800,35.5600,0.0000,top
